id,id_str,Screen_name,Location,Description,Url,Followers_count,Friends_count,Listed_count,Created_at,Favourites_count,Verified,Statuses_count,Lang,Status,Default_profile,Default_profile_image,Has_extended_profile,name,Bot
223781027,223781027,arcibald1976,,,,7,182,0,2010-12-07 09:27:38,1,False,42,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '771634533074477056', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'EN DIRECTO en #Periscope https://t.co/eES98je7Ps', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [{'text': 'Periscope', 'indices': [14, 24]}], 'symbols': [], 'urls': [{'indices': [25, 48], 'display_url': 'periscope.tv/w/apfmRTFBbWp6…', 'expanded_url': 'https://www.periscope.tv/w/apfmRTFBbWp6dmx3TlJWamV8MW1yeG1XbHdPeWdHeWXiKcFgMblZMhfTSm64FAG931n4hIioMel5n7l8t3uq', 'url': 'https://t.co/eES98je7Ps'}], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 771634533074477056, 'retweeted': False, 'favorited': False, 'possibly_sensitive': False, 'lang': 'es', 'created_at': 'Fri Sep 02 09:03:03 +0000 2016', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",True,False,False,daniel spanu,True
3236639261,3236639261,shayleaanderson,,,,13,1479,0,2015-05-05 19:20:01,0,False,4,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '794271166332424192', 'in_reply_to_status_id': None, 'truncated': False, 'text': ""Thought I'd try tinder out. Went on one date and he ended up getting arrested on the way home. He's still in jail. #thathappened"", 'coordinates': None, 'geo': None, 'entities': {'hashtags': [{'text': 'thathappened', 'indices': [115, 128]}], 'symbols': [], 'urls': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 794271166332424192, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Thu Nov 03 20:12:57 +0000 2016', 'favorite_count': 2, 'in_reply_to_user_id': None, 'contributors': None}",True,True,False,Shay Corless,True
550454730,550454730,charlesbardakji,,,,3,280,0,2012-04-10 19:18:49,1,False,7,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '276433227160363008', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'House GOP Leaders Purged Conservatives Using Secret Criteria List http://t.co/MZ3UUhU4 via @BreitbartNews', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [{'indices': [66, 86], 'display_url': 'shar.es/6AeoT', 'expanded_url': 'http://shar.es/6AeoT', 'url': 'http://t.co/MZ3UUhU4'}], 'user_mentions': [{'id': 457984599, 'name': 'Breitbart News', 'indices': [91, 105], 'screen_name': 'BreitbartNews', 'id_str': '457984599'}]}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 276433227160363008, 'retweeted': False, 'favorited': False, 'possibly_sensitive': False, 'lang': 'en', 'created_at': 'Wed Dec 05 21:09:51 +0000 2012', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",True,True,False,charles bardakji,True
3009551808,3009551808,9jechia9,,,,1,384,0,2015-02-05 01:14:32,0,False,11,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '838011315205582849', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'Trump.I vted for U.U gt RSSN hlp to bt womn with no stamina .Sad', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 838011315205582849, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Sat Mar 04 13:00:41 +0000 2017', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",True,True,False,Geno,True
580921624,580921624,zi_ny_sya,,,,6,172,0,2012-05-15 14:04:26,0,False,2,ru,"{'in_reply_to_status_id_str': None, 'retweeted_status': {'in_reply_to_status_id_str': None, 'retweet_count': 59153, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '743327425530978304', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'Для перехода на сайт пройдите по ссылке =&gt; https://t.co/M5ojF89M1L https://t.co/AqRTENSxS3', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [{'indices': [46, 69], 'display_url': 'zerkalo-imperator.com', 'expanded_url': 'http://zerkalo-imperator.com', 'url': 'https://t.co/M5ojF89M1L'}], 'media': [{'display_url': 'pic.twitter.com/AqRTENSxS3', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'indices': [70, 93], 'url': 'https://t.co/AqRTENSxS3', 'id': 743327176783650816, 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'type': 'photo', 'sizes': {'thumb': {'resize': 'crop', 'w': 150, 'h': 150}, 'large': {'resize': 'fit', 'w': 1024, 'h': 576}, 'small': {'resize': 'fit', 'w': 340, 'h': 191}, 'medium': {'resize': 'fit', 'w': 600, 'h': 338}}, 'id_str': '743327176783650816', 'expanded_url': 'https://twitter.com/CasinoImperator/status/743327425530978304/video/1'}], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 743327425530978304, 'retweeted': False, 'extended_entities': {'media': [{'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'indices': [70, 93], 'id': 743327176783650816, 'video_info': {'variants': [{'content_type': 'video/mp4', 'bitrate': 832000, 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/vid/640x360/TICdPdZ9vqi_Ql9I.mp4'}, {'content_type': 'video/mp4', 'bitrate': 320000, 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/vid/320x180/V-bl03tuC6eru7Et.mp4'}, {'content_type': 'video/mp4', 'bitrate': 2176000, 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/vid/1280x720/CO2e-GRfVNaZh1XL.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/pl/xhZXEGY3u3-fPtVu.m3u8'}], 'aspect_ratio': [16, 9], 'duration_millis': 17760}, 'sizes': {'thumb': {'resize': 'crop', 'w': 150, 'h': 150}, 'large': {'resize': 'fit', 'w': 1024, 'h': 576}, 'small': {'resize': 'fit', 'w': 340, 'h': 191}, 'medium': {'resize': 'fit', 'w': 600, 'h': 338}}, 'id_str': '743327176783650816', 'additional_media_info': {'monetizable': False}, 'expanded_url': 'https://twitter.com/CasinoImperator/status/743327425530978304/video/1', 'url': 'https://t.co/AqRTENSxS3', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'type': 'video', 'display_url': 'pic.twitter.com/AqRTENSxS3'}]}, 'favorited': False, 'possibly_sensitive': False, 'lang': 'ru', 'created_at': 'Thu Jun 16 06:20:43 +0000 2016', 'favorite_count': 28470, 'in_reply_to_user_id': None, 'contributors': None}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'retweet_count': 59153, 'id_str': '793485489588363264', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'RT @CasinoImperator: Для перехода на сайт пройдите по ссылке =&gt; https://t.co/M5ojF89M1L https://t.co/AqRTENSxS3', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [{'indices': [67, 90], 'display_url': 'zerkalo-imperator.com', 'expanded_url': 'http://zerkalo-imperator.com', 'url': 'https://t.co/M5ojF89M1L'}], 'media': [{'source_status_id_str': '743327425530978304', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'indices': [91, 114], 'id': 743327176783650816, 'source_user_id_str': '721823850', 'sizes': {'thumb': {'resize': 'crop', 'w': 150, 'h': 150}, 'large': {'resize': 'fit', 'w': 1024, 'h': 576}, 'small': {'resize': 'fit', 'w': 340, 'h': 191}, 'medium': {'resize': 'fit', 'w': 600, 'h': 338}}, 'id_str': '743327176783650816', 'source_user_id': 721823850, 'source_status_id': 743327425530978304, 'expanded_url': 'https://twitter.com/CasinoImperator/status/743327425530978304/video/1', 'url': 'https://t.co/AqRTENSxS3', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'type': 'photo', 'display_url': 'pic.twitter.com/AqRTENSxS3'}], 'user_mentions': [{'id': 721823850, 'name': 'Казино Император', 'indices': [3, 19], 'screen_name': 'CasinoImperator', 'id_str': '721823850'}]}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 793485489588363264, 'retweeted': False, 'extended_entities': {'media': [{'source_status_id_str': '743327425530978304', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'indices': [91, 114], 'id': 743327176783650816, 'source_user_id_str': '721823850', 'sizes': {'thumb': {'resize': 'crop', 'w': 150, 'h': 150}, 'large': {'resize': 'fit', 'w': 1024, 'h': 576}, 'small': {'resize': 'fit', 'w': 340, 'h': 191}, 'medium': {'resize': 'fit', 'w': 600, 'h': 338}}, 'id_str': '743327176783650816', 'source_user_id': 721823850, 'source_status_id': 743327425530978304, 'additional_media_info': {'monetizable': False}, 'expanded_url': 'https://twitter.com/CasinoImperator/status/743327425530978304/video/1', 'url': 'https://t.co/AqRTENSxS3', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/743327176783650816/pu/img/ljNYuzTkIvp12pI8.jpg', 'type': 'video', 'video_info': {'variants': [{'content_type': 'video/mp4', 'bitrate': 832000, 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/vid/640x360/TICdPdZ9vqi_Ql9I.mp4'}, {'content_type': 'video/mp4', 'bitrate': 320000, 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/vid/320x180/V-bl03tuC6eru7Et.mp4'}, {'content_type': 'video/mp4', 'bitrate': 2176000, 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/vid/1280x720/CO2e-GRfVNaZh1XL.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/743327176783650816/pu/pl/xhZXEGY3u3-fPtVu.m3u8'}], 'aspect_ratio': [16, 9], 'duration_millis': 17760}, 'display_url': 'pic.twitter.com/AqRTENSxS3'}]}, 'favorited': False, 'possibly_sensitive': False, 'lang': 'ru', 'created_at': 'Tue Nov 01 16:10:57 +0000 2016', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",False,False,False,inkaburnay,True
815160662,815160662,wazuann,,,,1,5,0,2012-09-10 12:48:41,0,False,1,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '250607015443972096', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'hy', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 250607015443972096, 'retweeted': False, 'favorited': False, 'lang': 'und', 'created_at': 'Tue Sep 25 14:45:43 +0000 2012', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",True,False,False,azuann,True
4821525639,4821525639,Tanneh24,,,,13,516,0,2016-01-17 17:16:50,1,False,1,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""http://www.mplusrewards.com"" rel=""nofollow"">mPLUS Rewards</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '702852852507680768', 'in_reply_to_status_id': None, 'truncated': False, 'text': ""I'm earning #mPLUSRewards in Family Feud 2 Android. https://t.co/1MaB5roOyz"", 'coordinates': None, 'geo': None, 'entities': {'hashtags': [{'text': 'mPLUSRewards', 'indices': [12, 25]}], 'symbols': [], 'urls': [{'indices': [52, 75], 'display_url': 'getm.pt/6k2b5c', 'expanded_url': 'http://getm.pt/6k2b5c', 'url': 'https://t.co/1MaB5roOyz'}], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 702852852507680768, 'retweeted': False, 'favorited': False, 'possibly_sensitive': False, 'lang': 'en', 'created_at': 'Thu Feb 25 13:49:13 +0000 2016', 'favorite_count': 1, 'in_reply_to_user_id': None, 'contributors': None}",True,False,True,Carina Sibley,True
150861340,150861340,huero15,,,,3,276,0,2010-06-02 01:00:08,0,False,2,en,"{'in_reply_to_status_id_str': None, 'retweeted_status': {'in_reply_to_status_id_str': None, 'retweet_count': 1, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '15215521955', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'Only four class sessions left...and a ton of work yet to accomplish...', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 15215521955, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Wed Jun 02 00:48:14 +0000 2010', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'retweet_count': 1, 'id_str': '15216479637', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'RT @HoyEnglish: Only four class sessions left...and a ton of work yet to accomplish...', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': [{'id': 73905288, 'name': 'Jennifer Hoy', 'indices': [3, 14], 'screen_name': 'HoyEnglish', 'id_str': '73905288'}]}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 15216479637, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Wed Jun 02 01:04:14 +0000 2010', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",True,True,False,german lopez,True
555170701,555170701,smithlovingyou,"Lagos, shomolu,31 olabiran ",Am easy going and I believe what goes around comes around,,28,1563,0,2012-04-16 14:35:25,19,False,67,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'is_quote_status': False, 'in_reply_to_screen_name': 'KilluaMontaoto', 'id_str': '794841127019020288', 'in_reply_to_status_id': None, 'truncated': False, 'text': '@KilluaMontaoto thanks for following', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': [{'id': 788795096032391168, 'name': 'Killua Montaoto', 'indices': [0, 15], 'screen_name': 'KilluaMontaoto', 'id_str': '788795096032391168'}]}, 'in_reply_to_user_id_str': '788795096032391168', 'place': None, 'id': 794841127019020288, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Sat Nov 05 09:57:46 +0000 2016', 'favorite_count': 0, 'in_reply_to_user_id': 788795096032391168, 'contributors': None}",True,False,False,Macaulay gbolahan,True
387251448,387251448,Amarnath008,,,,2,410,0,2011-10-08 18:35:15,0,False,1,en,"{'in_reply_to_status_id_str': None, 'retweet_count': 0, 'source': '<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>', 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '122743968315359232', 'in_reply_to_status_id': None, 'truncated': False, 'text': 'Dood maango ge tau kheer denge kashmir maango tau cheer denge- Maa tujhe salam', 'coordinates': None, 'geo': None, 'entities': {'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'place': None, 'id': 122743968315359232, 'retweeted': False, 'favorited': False, 'lang': 'hi', 'created_at': 'Sat Oct 08 18:43:37 +0000 2011', 'favorite_count': 0, 'in_reply_to_user_id': None, 'contributors': None}",True,True,False,Amarnath,True
